year,GDP,GDP growth (annual %),GDP per capita,GDP per capita growth(annual%),consumer_price_index,inflation of consumer prices,inflation_world,labor force total,labor force female %,"unemployment, total (% of total labor force)","unemployment, female (% of female labor force)","unemployment, male (% of male labor force)",tax_revenue (%of GDP),trade (% of GDP)
1960,2037150716,,172.5989838,,9.942806072,3.424299065,,,,,,,,46.27024488
1961,2025689537,,167.1649628,,10.11811013,1.763124605,,,,,,,,46.532038
1962,2379606422,,191.2198181,,10.63380279,5.096729081,,,,,,,,39.11311049
1963,2657247327,,208.0869598,,11.23989889,5.699711687,,,,,,,,38.00104159
1964,2798339769,,213.7555542,,11.69191609,4.021541474,,,,,,,,38.62721854
1965,2948325264,,219.4823456,,12.09912462,3.48282122,,,,,,,,35.0536193
1966,2876395613,,208.522522,,11.97649039,-1.013579365,,,,,,,,38.33470734
1967,3046339295,10.02884136,214.9804382,7.10823372,11.88687307,-0.748276994,,,,,,,,38.07732226
1968,3271415868,9.891739306,224.7490082,6.980939033,11.93875678,0.436479069,,,,,,,,38.53820598
1969,3651615453,8.362165357,244.2861633,5.518711857,12.29093714,2.949891354,,,,,,,,37.20980573
1970,3956328426,4.713460376,257.7291565,1.967050346,12.44816051,1.279181324,,,,,,,,39.21632286
1971,4356633663,5.596893659,276.5058899,2.880556722,12.96542541,4.155352068,,,,,,,,36.67924185
1972,5074117545,2.437237347,313.9982605,-0.121674765,13.45281786,3.759170557,,,,,,,,37.79695866
1973,6242177798,3.559310832,376.78125,1.012598436,14.00231355,4.084614036,,,,,,,,42.94273678
1974,7675408486,5.596049945,452.0569153,3.035327392,16.46067492,17.55682275,,,,,,,,55.74925462
1975,8984824183,7.558221561,516.6010742,5.002036194,17.76407877,7.918289267,,,,,,,,55.81884595
1976,9584323309,10.81278134,537.8100586,8.146276684,19.27440783,8.502152443,,,,,,,,54.64444235
1977,11049896742,6.059167679,604.3496704,3.373888543,21.70240518,12.59700099,,,,,,,,54.21715802
1978,13236854105,2.232663388,705.1883545,-0.418206703,23.81101797,9.71603275,,,,,,,,46.43924285
1979,15912133569,4.793787205,825.6499023,2.066383041,25.79480089,8.331365418,,,,,,,,46.87474816
1980,21728770055,3.642164813,1097.677734,0.90405771,28.22167364,9.408379474,,,,,,,,47.34206783
1981,17788171722,-1.74343493,874.7862549,-4.348345028,31.74727423,12.49252839,12.44243689,,,,,,,57.4360558
1982,17692341358,8.957372023,847.3289795,6.109130262,35.08956608,10.5278073,10.22172714,,,,,,,55.34027036
1983,16251460689,1.386569577,758.4700317,-1.199368873,37.26790367,6.207935389,8.669271598,,,,,,,52.61409502
1984,14824728528,6.418386321,675.0192871,3.824549052,41.90685182,12.44756933,8.080320173,,,,,,,60.36267952
1985,14991283216,6.007652072,666.7158203,3.540381148,45.14568107,7.728638901,6.807566558,,,,,,,59.31507463
1986,19462175322,9.271105769,846.90979,6.91758453,49.08850585,8.733559187,5.77811257,,,,,,,50.28060358
1987,21765261042,-0.325004076,928.5009155,-2.285517697,50.41327698,2.698739977,5.710119385,,,,,,,49.65750551
1988,25705296184,11.87523598,1076.092773,9.784897622,51.60759527,2.369055055,7.113406529,,,,,,,50.13760317
1989,26314220188,2.846202581,1081.961426,1.014205427,53.28998713,3.259969492,6.923905037,,,,,,,50.35084475
1990,30180108562,3.411812226,1219.430664,1.621400788,56.90443061,6.782594015,8.063460909,7439483,23.07970863,,,,18.67672148,54.62668742
1991,32285388165,7.216088161,1282.572144,5.414277714,61.4489129,7.986166008,8.996938735,7612360,23.32555213,12.72299957,13.22500038,12.5710001,18.41541938,49.77929548
1992,33711069431,-2.097738761,1317.329956,-3.697190388,64.97623205,5.740246629,7.636108523,7853198,23.36375576,13.12199974,13.43999958,13.02499962,20.65142956,50.26331618
1993,31655473664,-0.740591692,1217.429077,-2.311258699,68.34402421,5.18311396,7.144587069,8089403,23.42863868,13.21000004,13.40499973,13.14999962,20.24770334,49.66845661
1994,35604137423,10.5880004,1348.539063,8.912122083,71.85804944,5.14167153,10.24793556,8244995,23.74379851,13.00199986,13.13899994,12.95899963,18.85493515,47.31355373
1995,39030285468,-5.405447867,1455.950317,-6.836057668,76.25833577,6.123581648,9.077380952,8543573,23.73001319,13.61200047,13.4989996,13.64700031,18.35120904,51.71502538
1996,43161452678,12.37287628,1585.718384,10.67427546,78.53602678,2.986809228,6.526095694,8703961,24.05158985,13.19400024,13.07400036,13.23200035,,47.09554345
1997,39147844526,-1.560702356,1416.900391,-3.022729178,79.35138699,1.038198951,5.554129889,8984749,24.12866514,13.75,13.38099957,13.86800003,19.40548746,51.15015465
1998,41806219379,7.23855269,1491.139771,5.6810107,81.53602058,2.753113308,5.097291493,9190156,24.41782272,13.60900021,13.16399956,13.75300026,19.16524702,50.79768215
1999,41632027600,1.081332562,1464.148804,-0.333058607,82.09436507,0.684782609,3.041946671,9443347,24.57632871,13.93999958,13.29300022,14.15100002,19.87323876,53.98669265
2000,38857251336,1.912872981,1348.049805,0.532211791,83.64975329,1.894634568,3.433515634,9682769,24.73925589,13.57999992,13.01599979,13.76500034,,59.16182679
2001,39459581217,7.319967454,1350.712036,5.890498676,84.16821603,0.619801875,3.836572621,9872499,25.03259813,12.46000004,12.50500011,12.44499969,,59.4180039
2002,42236836821,3.121449656,1426.95752,1.779044944,86.52123923,2.795619669,2.90799857,9977433,24.73401726,11.59000015,12.54599953,11.27600002,19.07256603,60.5340864
2003,52064058834,5.961162155,1737.063843,4.641707807,87.53157688,1.167733675,3.025045263,10184411,24.98551954,11.92000008,13.00300026,11.55900002,18.78977248,58.32774268
2004,59626020162,4.797018362,1964.080078,3.465248713,88.83881199,1.493444034,3.517999031,10395657,25.23686574,10.82999992,11.36900043,10.64799976,18.97885165,61.59653347
2005,62343022651,3.291639684,2026.025879,1.905806981,89.71177917,0.98264166,4.107250707,10618681,25.47712847,11.01000023,11.56200027,10.8210001,20.97294126,67.91485449
2006,68640825481,7.574631645,2200.966064,6.141105843,92.6585973,3.28476167,4.267174634,10841392,25.70178258,9.670000076,9.670000076,9.670000076,21.45102144,71.49628678
2007,79041294874,3.531594152,2501.222412,2.173987144,94.55076474,2.042085127,4.810237043,11058307,25.92810997,9.56000042,9.427000046,9.607000351,23.90540285,78.48717434
2008,92507257784,5.923277686,2889.220947,4.543748365,98.06317731,3.714843115,8.949953354,11268009,26.16001638,9.569999695,9.784000397,9.494000435,26.49262558,85.6728209
2009,92897320376,4.243757321,2863.59668,2.885411146,99.01621705,0.971862999,2.928564327,11361433,26.02330181,8.960000038,9.286000252,8.845000267,23.45630398,67.91510295
2010,93216746662,3.815717917,2835.217773,2.434653381,100,0.993557401,3.34686867,11445798,25.89127468,9.090000153,9.491000175,8.949999809,22.81923338,75.24763454
2011,1.0137E+11,5.245697297,3041.145752,3.809622432,100.9069249,0.90692491,4.82239636,11533784,25.67119343,8.909999847,10.24400043,8.449000359,23.29675614,83.42680017
2012,98266306615,3.009961262,2907.449219,1.592344639,102.2057205,1.287122401,3.725326661,11546217,25.26435282,8.989999771,9.956000328,8.663999557,23.90364037,85.12491729
2013,1.06826E+11,4.5354242,3117.515137,3.107202493,104.1278572,1.880654667,2.621050017,11708832,25.67291938,9.229999542,9.57199955,9.112000465,22.34908936,80.02055856
2014,1.19131E+11,19.0472788,3430.549561,17.46920437,104.5884252,0.442310054,2.346268657,11827998,25.85354681,9.699999809,10.28600025,9.49600029,20.35361775,71.89356675
2015,1.10414E+11,4.344582976,3139.243652,3.022429876,106.2178157,1.557907113,1.434317634,11854873,25.71825949,9.460000038,10.41300011,9.130000114,19.43746509,67.28867593
2016,1.11573E+11,0.521185509,3132.94458,-0.722002651,107.9548075,1.635311143,1.550016417,11796246,25.04304335,9.300000191,10.69099998,8.835000038,19.86725776,71.12266038
2017,1.18541E+11,5.057898157,3288.502197,3.792277024,108.7695027,0.754663249,2.19201011,11696824,25.14002946,9.225000381,10.68799973,8.732999802,20.12970123,74.17335788
2018,1.27341E+11,3.065641334,3492.67334,1.899445896,110.731614,1.803916711,2.438736555,11843455,25.22813655,9.23900032,10.76500034,8.723999977,20.28612138,77.25488752
2019,1.2892E+11,2.890974761,3498.573975,1.802657182,111.0675582,0.303386037,2.186901545,11992890,25.30292532,9.241999626,10.82999992,8.704000473,19.91442794,75.99811588
2020,1.21348E+11,-7.187079581,3258.121338,-8.172741448,111.8516604,0.705968661,1.920968006,11624124,25.2369985,11.11400032,12.6590004,10.59200001,20.02311974,68.84726822
2021,1.42866E+11,7.929667942,3795.380127,6.790377381,113.4197746,1.40195884,3.495057574,12285624,22.87092621,10.54199982,12.38599968,9.994999886,,74.95168025
