Year,"Immunization, measles %","Immunization, Hepatitis B %","Immunization, DPT %","Immunization, neonatal tetanus %","Immunization, Polio %","Immunization, BCG %",current health expenditure % of gdp,hospital beds MAR(per 1000 people),hospital beds EU(per 1000 people),hospital beds ArabW(per 1000 people),hospital beds World(per 1000 people),healthy life expectancy at birth -both sexes,healthy life expectancy at birth -Male,healthy life expectancy at birth -Female,medical doctors per 10 000 people,medical doctors number,nursing and midwifery personnel per 10 000 people,nursing and midwifery personnel number,nursing number,midwifery number,dentists per 10 000 people,dentists number,urban Basic drinking-water services,rural Basic drinking-water services,urban safely managed drinking water services %,rural safely managed drinking water services %
1960,,,,,,,,1.598400116,,1.922230812,,,,,,,,,,,,,,,,
1961,,,,,,,,,,,,,,,,,,,,,,,,,,
1962,,,,,,,,,,,,,,,,,,,,,,,,,,
1963,,,,,,,,,,,,,,,,,,,,,,,,,,
1964,,,,,,,,,,,,,,,,,,,,,,,,,,
1965,,,,,,,,,,,,,,,,,,,,,,,,,,
1966,,,,,,,,,,,,,,,,,,,,,,,,,,
1967,,,,,,,,,,,,,,,,,,,,,,,,,,
1968,,,,,,,,,,,,,,,,,,,,,,,,,,
1969,,,,,,,,,,,,,,,,,,,,,,,,,,
1970,,,,,,,,1.47420001,,1.900653602,3.067739613,,,,,,,,,,,,,,,
1971,,,,,,,,,,,,,,,,,,,,,,,,,,
1972,,,,,,,,,,,,,,,,,,,,,,,,,,
1973,,,,,,,,,,,,,,,,,,,,,,,,,,
1974,,,,,,,,,,,,,,,,,,,,,,,,,,
1975,,,,,,,,1.428599954,,1.571697223,2.394981229,,,,,,,,,,,,,,,
1976,,,,,,,,,,,,,,,,,,,,,,,,,,
1977,,,,,,,,,,,,,,,,,,,,,,,,,,
1978,,,,,,,,,,,,,,,,,,,,,,,,,,
1979,,,,,,,,,,,,,,,,,,,,,,,,,,
1980,,,,,,,,,9.519846724,,3.586159472,,,,,,,,,,,,,,,
1981,,,,,,,,1.228199959,,1.68851455,,,,,,,,,,,,,,,,
1982,17,,32,,,,,,,,,,,,,,,,,,,,,,,
1983,35,,41,,,,,,,,,,,,,,,,,,,,,,,
1984,42,,45,,,,,,,,,,,,,,,,,,,,,,,
1985,45,,51,,,,,1.266899943,8.877785021,,4.119834835,,,,,,,,,,,,,,,
1986,58,,63,,,,,,,,,,,,,,,,,,,,,,,
1987,73,,85,29,,,,,,,,,,,,,,,,,,,,,,
1988,81,,82,47,,,,,,,,,,,,,,,,,,,,,,
1989,82,,80,53,,,,,,,,,,,,,,,,,,,,,,
1990,79,,81,55,,,,1.289999962,8.196290855,1.784669326,3.637409206,,,,,,,,,,,,,,,
1991,80,,81,60,,,,,8.007969742,,3.4204697,,,,,,,,,,,,,,,
1992,81,,87,63,,,,,7.747095558,,,,,,,,,,,,,,,,,
1993,83,,86,63,,,,,7.609358608,,,,,,,,,,,,,,,,,
1994,87,,87,66,,,,1.112300038,7.542823779,,,,,,,,,,,,,,,,,
1995,88,,90,73,,,,,7.309878486,,,,,,,,,,,,,,,,,
1996,93,,95,76,,,,,7.290307407,,,,,,,,,,,,,,,,,
1997,92,,94,80,,,,0.980000019,7.062117303,,,,,,,,,,,,,,,,,
1998,91,,93,82,,,,,6.860303997,,,,,,,,,,,,,,,,,
1999,90,,91,83,,,,,6.669299023,,,,,,,,,,,,,,,,,
2000,93,43,95,84,95,97,4,1.1,6.532297283,1.606045142,2.900103809,60.7,60.7,60.7,,,,,,,,,,,85.69,17.42
2001,96,84,96,84,93,93,4.13,0.87,6.576240852,1.503581543,2.768852072,,,,,,,,,,,,,,85.88,18.62
2002,94,92,94,84,94,92,4.4,1.09,6.372444591,1.583476055,2.669514659,,,,,,,,,,,,,,86.07,19.82
2003,90,90,91,84,91,92,4.42,0.78,6.300479235,1.579065349,2.891210548,,,,,,,,,,,,,,86.25,21.03
2004,95,95,97,86,97,95,4.58,0.87,6.193783781,1.612400589,,,,,5.324,15991,8.1,24328,22250,2078,1.029,3091,,,86.44,22.23
2005,97,96,98,87,98,95,4.73,0.87,6.115586392,1.628538492,2.631489886,,,,,,,,,,,,,,86.63,23.43
2006,95,95,97,87,97,95,4.94,0.87,6.026994221,1.657444639,2.67138903,,,,,,,,,,,,,,86.81,24.63
2007,95,95,95,88,95,96,5.2,0.87,5.946030175,1.625528649,2.67649629,,,,5.849,18269,,,,,,,,,87,25.83
2008,96,97,99,88,99,99,5.24,1.1,5.889601902,1.647461961,2.653164289,,,,,,,,,,,,,,87.19,27.03
2009,98,98,99,88,99,99,5.71,1.13,5.801668006,1.544162988,2.607104728,,,,6.454,20682,9.265,29689,29689,,0.833,2668,,,87.38,28.23
2010,98,98,99,88,99,99,5.86,1.13,5.707752351,1.552759552,2.620024894,62.5,63.1,62.1,,,,,,,,,,,88.19,30.71
2011,99,98,99,88,98,99,5.81,0.85,5.661131405,,2.68405463,,,,,,,,,,,,,,89.01,33.29
2012,99,99,99,88,99,99,5.84,0.85,5.661108643,,2.778869425,,,,,,,,,,,,,,89.21,35.97
2013,99,99,99,89,99,99,5.69,0.85,5.564824916,,2.816225192,,,,6.304,21309,9.7,32788,30104,2684,,,,,89.4,38.76
2014,99,99,99,89,99,99,5.86,1.1,5.597029991,1.597108136,2.767623512,,,,9.12,31309,9.424,32276,29592,2684,1.359,4655,,,89.58,41.65
2015,99,99,99,89,99,99,5.57,1.1,5.488165282,1.483995308,2.693564582,63.3,63.5,63.1,,,,,,,1.405,4872,,,89.77,44.65
2016,99,99,99,89,99,99,5.5,1.1,5.449439147,1.47473109,2.725949053,,,,,,,,,,,,,,89.96,47.74
2017,99,99,99,89,99,99,5.39,1,5.409753531,1.376802345,2.88108451,,,,7.319,26003,13.908,49412,45326,4086,1.367,4855,,,90.15,50.95
2018,99,99,99,90,99,99,5.33,,4.594189751,,,,,,,,,,,,,,,,90.34,54.25
2019,99,99,99,90,99,99,5.37,,,,,63.7,63.7,63.7,,,,,,,,,,,90.53,57.67
2020,99,99,99,90,99,99,5.99,,,,,,,,,,,,,,,,97.9,77.35,90.72,61.18
2021,99,99,99,,99,99,,,,,,,,,,,,,,,,,,,,
